ISBN,Book-Author,Year-Of-Publication
99635,elliott o'donnell,1989
99637,alan brennert,1991
99638,john ney rieber,1996
99641,roger zelazny,1989
99645,rosa montero,1998
99649,mariama ba,2000
99651,elfriede jelinek,1997
99652,robert jordan,1990
99659,d. t. suzuki,1991
99661,john coyne,1999
99664,marybeth bond,1995
99675,pierre furlan,2001
99685,alexandra david-neel,1993
99688,salim alafenisch,1994
99694,webster,1993
99705,venetia morrison,1990
99713,christopher lloyd,1998
99716,elizabeth spencer,2001
99720,lynn cullen,1998
99722,martin bailey,1995
99725,gerald durrell,2000
99726,christian jacq,1999
99727,christian jacq,1999
99728,peter murray,1996
99729,christian jacq,1999
99730,john simpson,1995
99732,kristien hemmerechts,2000
99733,gennadii spirin,2002
99734,"frank b."","" jr. gilbreth",1981
99735,kate farrell,1999
99738,abingdon press,1997
99739,editors of phaidon press,2000
99740,christina georgina rossetti,1993
99742,constantine cavafy,1995
99744,william shakespeare,1995
99745,lawrence durrell,1993
99746,lawrence durrell,1991
99747,josyane savigneau,2003
99748,lawrence durrell,1991
99752,wendell berry,2002
99753,rita mae brown,2003
99755,tony diterlizzi,2003
99756,david rigsbee,2001
99757,john t. spike,1997
99759,editors of phaidon press,2000
99761,reynolds price,1991
99762,century hutchinson,1992
99763,editors of phaidon press,2000
99764,ingrid noll,2002
99771,tahar benjelloun,1993
99772,john updike,1983
99773,ruth schweikert,1999
99775,anna maria sigmund,2000
99777,editors of phaidon press,2000
99779,caryll houselander,2003
99780,caryll houselander,1996
99781,daniel pennac,1993
99782,rabindranath tagore,2000
99783,virginia spate,2000
99784,john stone,1998
99786,arthur ransome,1995
99787,daniel pennac,1995
99797,don aslett,1984
99799,william a. gordon,2000
99800,j. warner,1911
99817,margaret maron,1993
99825,joyce carol oates,1991
99832,petra hammesfahr,2002
99838,katherine kingsley,2003
99839,valerie s. malmont,2000
99842,harold bloom,1998
99843,mark spragg,2000
99858,cormac mccarthy,1993
99866,joel l. widzer,1999
99867,james bradley,2001
99870,mike  maccaskey,1999
99887,naomi klein,2001
99890,stephan ziedenitz,1996
99898,cecelia holland,1997
99901,michele mitchell,1999
99903,janelle denison,2002
99907,judith merkle riley,1994
99912,anton,2001
99914,louis phillips,1995
99915,r. john brockmann,1988
99918,naura hayden,1999
99929,rebecca east,2003
99932,peggy parish,1986
99934,eth clifford,1990
99939,linda jones,1996
99943,jim miller,1996
99944,neysa griffith,1995
99952,mary reed mccall,2002
99955,stefan r. dziemianowicz,1988
99956,kenneth clark,1992
99958,linda needham,2002
99960,kahlil gibran,1950
99965,deborah d'andrea,1990
99967,j.p. miller,1986
99970,ted kryczko,1994
99971,stewart cowley,1992
99972,carlos fuentes,2001
99973,kim stanley robinson,1989
99978,karen whiddon,2003
99985,lyn stone,2003
99987,victoria zak,1999
99991,not applicable (na ),1993
99992,patricia potter,1997
99994,william shakespeare,1994
99995,donna fletcher,1999
99997,clive cussler,1990
99999,le thi diem thuy,2003
100000,diana wynne jones,1988
100001,michael h. hart,1992
100006,robert fossier,1986
100007,george catlin,1995
100008,werner keller,1974
100009,charles allen burney,1977
100011,pierre grimal,1989
100013,jean-michel coblence,1987
100014,fiona macdonald,2000
100015,charles dickens,1990
100020,mark harrison,1993
100023,keifer,1990
100024,john matthews,1989
100025,geoffrey of monmouth,1977
100026,spencer johnson,2001
100028,anne civardi,1998
100030,paul muldoon,1992
100031,marcelin defourneaux,1979
100033,claire nahmad,1994
100035,sherrilyn kenyon,1995
100036,bertrice small,1983
100037,lisa collier cool,1990
100039,mark a. burkholder,1997
100040,mary renault,1981
100043,l. a. hamey,1982
100044,gayle callen,1999
100047,ernest thayer,1988
100049,silver ravenwolf,2001
100050,w. d. brownlee,1977
100056,sarah ferguson,1989
100060,bruce clifford ross-larson,1982
100061,emily dickinson,1986
100063,connie emerson,1996
100065,dorothy u. seyler,2000
100067,roger schlesinger,1996
100069,cecelia holland,1985
100070,kim headlee,1999
100072,don coldsmith,1995
100073,don coldsmith,2000
100074,don coldsmith,1991
100075,don coldsmith,1990
100076,don coldsmith,1996
100077,don coldsmith,1995
100078,don coldsmith,1994
100079,don coldsmith,1993
100081,don coldsmith,1993
100082,don coldsmith,1991
100083,don coldsmith,1990
100084,don coldsmith,1991
100085,don coldsmith,1989
100086,don coldsmith,1989
100087,steven ozment,1986
100088,kathleen morgan,1996
100091,mary gillgannon,1994
100094,morgan llywelyn,1982
100097,morgan llywelyn,1994
100101,katherine deauxville,1993
100102,ray bradbury,1982
100105,mary gillgannon,1996
100106,kathleen morgan,1995
100110,mathilde helly,1997
100113,marylyle rogers,1993
100114,merline lovelace,1996
100115,merline lovelace,1994
100116,jennifer archer,1999
100117,claire delacroix,1998
100119,juliana garnett,2000
100120,anita gordon,1991
100121,judith hill,1994
100122,rebecca brandewyne,1994
100123,judith merkle riley,1990
100124,robin gideon,1993
100125,catherine hart,1996
100127,dara joy,1997
100131,robert asprin,1988
100134,thomas byrom,1976
100136,robert asprin,1986
100145,allen steele,2001
100156,henriette walter,2000
100168,webb garrison,1999
100169,oscar wilde,1999
100183,paul dickson,1979
100184,jean mabire,1978
100191,gore vidal,1986
100197,ann m. martin,1988
100202,ann m. martin,1991
100203,henry n. beard,2002
100204,ann m. martin,1990
100222,a. h. japp,1998
100224,karen salmansohn,2001
100225,john gray,0
100227,anne de leseleuc,1999
100229,carvic heron,1998
100230,serge brussolo,2002
100231,p. d. (phyllis dorothy) james,1988
100232,james,1990
100233,elena arseneva,1997
100235,john ronald reuel tolkien,2002
100243,jean paul sartre,0
100248,orson scott card,2003
100250,card orson scott,2001
100251,henri troyat,1994
100253,baudelaire,0
100257,le gal,0
100263,pascale clark,2003
100271,elmore leonard,1988
100281,orson scott card,1999
100282,w. r. philbrick,1995
100284,spider robinson,1986
100285,david weber,1995
100287,terry pratchett,1989
100288,wilkie collins,2002
100292,glen cook,1990
100293,peter haining,1997
100294,robert asprin,2000
100295,glen cook,1995
100297,terri windling,1991
100299,mel gilden,1991
100300,mel gilden,1991
100301,lesley baxter,1996
100302,mel gilden,1991
100304,angus wells,1998
100307,charles dickens,0
100310,anne conway,1989
100311,e.l. konigsburg,2002
100312,graham joyce,2001
100319,mary grace eubank,1996
100328,kenneth grahame,2001
100329,james matthew m. barrie,1988
100333,samuel romilly roget,1989
100339,maggie black,1995
100345,barbara kingsolver,2000
100346,anna sewell,1990
100355,niccolo tucci,1992
100361,sandra woodruff,1995
100366,david siegel,1996
100370,suzann ledbetter,2002
100375,susan kearney,2003
100378,rogenna brewer,2002
100379,jean brashear,2002
100380,linda style,2002
100382,kathryn shay,2002
100384,sylvie kurtz,2002
100390,jeff guinn,1996
100391,leandra logan,2004
100394,alessandro baricco,1991
100400,jonathan raban,1998
100402,giuseppe prezzolini,1993
100404,artur marcos,1995
100405,algirdas sabaliauskas,1993
100407,not applicable (na ),1987
100408,michelin travel publications,1990
100409,michelin,1991
100410,mauro villar,1989
100412,stephen crane,1995
100413,teixeira de sousa,1990
100414,veronique mortaigne,1998
100415,maria isabel barreno,1994
100416,teixeira de sousa,1992
100417,teixeira de sousa,1994
100419,martin solly,1999
100420,rodney bolt,1999
100421,j.c. yang,2004
100422,antony mason,1999
100423,richard sale,2000
100424,elizabeth moon,1995
100425,helen dyrbye,1999
100426,john winterson richards,1999
100427,peter berlin,1999
100429,ewa lipniacka,2000
100430,sean mcmullen,1999
100431,ken hunt,1999
100432,stephanie faul,1999
100433,sean mcmullen,2002
100434,drew launay,1996
100435,vincent caprani,1986
100436,alphons silbermann,1997
100437,j. derrick mcclure,1988
100438,tim jepson,1992
100440,hermann hesse,1973
100441,bryson,1997
100442,stefan. zweig,1999
100447,peter sloterdijk,1993
100448,stefan zweig,1977
100452,rex shelley,1992
100454,elizabeth su-dale,1994
100456,richard lord,1996
100457,gina l. crocetti,1997
100458,arin bayraktroglu,2002
100459,harald schmidt,1993
100460,dee rissik,1993
100461,helge schneider,1994
100462,raymond flower,1994
100463,sten nadolny,0
100464,dick winter,1992
100465,joann meriwether craig,1992
100466,heidi munan,1991
100467,ilsa sharp,2001
100468,robert barlas,1991
100469,marie louise graff,1992
100470,gitanjal kolanad,1993
100471,sally a. taylor,1991
100472,robert cooper,1991
100473,saw myat yin,1993
100474,jon burbank,1992
100475,cathie draine,1991
100477,krzysztof dydynski,1999
100478,julia wilkinson,1999
100480,vicki iovine,1999
100484,p. h. scott,1993
100485,gianluca bocchi,1994
100486,albert david mackie,1979
100487,berstein & milza,0
100488,patrick mcdonnell,1999
100489,hermann,2001
100491,paolo eleuteri serpieri,2000
100493,franquin,1986
100494,frank miller,2003
100496,jean van hamme,2001
100497,jean van hamme,1999
100498,bob de moor,1996
100499,edgar pierre jacobs,1996
100500,rene goscinny,2004
100502,rene goscinny,2004
100503,rene goscinny,2004
100504,rene goscinny,2004
100505,albert uderzo,2002
100507,albert uderzo,2002
100508,milo manara,1996
100509,,1998
100510,hugo pratt,2000
100511,hugo pratt,2001
100512,f. bourgeon,1993
100513,f. bourgeon,1993
100514,moebius,2001
100516,winsor mccay,1998
100525,jeffrey gantz,1976
100528,daniel j. boorstin,1993
100529,daniel j. boorstin,1999
100530,v. c. andrews,1982
100534,leonardo padura,2001
100536,peter forbath,1996
100537,moebius,1999
100538,moebius,1998
100539,alexandro jodorowsky,2004
100541,moebius,2003
100542,alexandro jodorowsky,2002
100543,v.c. andrews,1989
100544,joao magueijo,2003
100545,christopher pike,1996
100546,edgar pierre jacobs,1996
100547,l. j. smith,1992
100548,frank miller,1997
100549,frank miller,1998
100550,alan moore,1995
100551,frank miller,1999
100552,edgar pierre jacobs,1996
100553,edgar pierre jacobs,1996
100554,herge,1976
100555,herge,1999
100556,georges remi herge,2003
100557,herge,1979
100560,lord baden-powell,1992
100561,robert baden-powell,1992
100562,juliet marillier,2003
100565,dieter bohlen,2002
100566,fyodor dostoyevsky,2003
100574,antonio tabucchi,1997
100583,jose saramago,1999
100586,samuel beckett,1984
100592,tom coffey,1999
100596,peter maas,1979
100599,edward abbey,1992
100612,rosalind a. sydie,1994
100618,diana wynne jones,1998
100629,maureen waller,2003
100640,jacq christian,1998
100655,mark twain,1996
100659,peter lovesey,2001
100664,michaela muntean,1996
100667,walt disney,1988
100669,stan berenstain,1995
100678,selma eichler,2000
100679,troy denning,1993
100682,samantha dunn,2002
100694,ralph emery,1992
100699,julianne maclean,2004
100729,george eliot,1987
100751,anne marie duquette,1994
100757,janelle taylor,1991
100760,ngaio marsh,1982
100767,louis l'amour,1982
100782,lynnette kent,2004
100784,jane sullivan,2001
100788,sandra steffen,1995
100792,carrie alexander,2004
100795,rebecca york,1999
100796,patricia hagan,2002
100798,claudia black,1991
100805,george lucas,1986
100822,christopher pike,1997
100832,bj james,2000
100834,carol stephenson,2002
100838,karen rose smith,2003
100848,muriel jensen,2000
100858,jim wilson,2000
100863,agatha christie,1985
100865,dorothy gilman,1977
100866,judith viorst,1970
100886,joanne rock,2003
100888,poul anderson,1980
100889,isaac asimov,1983
100891,lonnie barbach,1994
100904,larry niven,1977
100910,rona jaffe,1980
100919,arthur upfield,1983
100921,leona karr,2002
100935,frank herbert,1977
100954,madeleine l'engle,1981
100956,christopher pike,1986
100960,sharon sala,1998
100964,kylie brant,1999
100988,fred smith,1991
100992,lauren bacall,1979
100995,monte florman,1992
100996,consumer reports books,1989
100999,alistair maclean,1981
101009,barbara delinsky,2004
101010,terry lawrence,1995
101023,lois gladys leppard,1993
101024,alison kent,2003
101025,patricia rosemoor,2003
101032,og mandino,1997
101034,frank caplan,1983
101039,earl mindell,1991
101040,kat martin,1998
101047,david henderson,1983
101053,colette dowling,1989
101058,og mandino,1991
101063,thomas m. s. wolever,2000
101069,howard teichmann,1991
101084,caroline b. cooney,1988
101090,napoleon hill,1990
101092,farley mowat,1984
101097,lisa gregory,1979
101105,ann kaiser stearns,1992
101108,john g. fuller,1978
101110,laura wright,2003
101111,joyce thies,1988
101118,betty neels,1983
101124,louis l'amour,1984
101139,hope edelman,1994
101142,oscar williams,1962
101143,joy kogawa,1994
101154,"eugene t."","" ph.d. gendlin",1982
101167,og mandino,1998
101171,robert a. heinlein,1985
101185,spencer johnson,1986
101186,k.n. casper,2002
101191,john lahr,1987
101192,wendy douglas,2002
101209,c. j. cherryh,1986
101213,og mandino,1986
101220,paul zindel,1973
101223,howard stern,1994
101234,merry bloch jones,1995
101249,debra lee brown,2002
101251,holly harte,2002
101256,john walsh,1998
101260,marsha canham,1997
101261,dorothy garlock,1993
101279,emma page,1988
101302,janelle taylor,1993
101303,norah hess,1998
101304,pamela morsi,1994
101308,alexis harrington,1997
101309,amanda scott,1999
101319,ryan white,1992
101328,tillie olsen,1971
101331,v.c. andrews,1989
101340,catherine coulter,1991
101341,catherine coulter,1998
101345,carol finch,1998
101347,brenda joyce,1995
101364,robert goldsborough,1989
101367,richard paul evans,2001
101370,edward e. rosenbaum,1991
101379,thomas pynchon,1985
101382,charles dickens,1991
101403,harold robbins,1992
101412,robert tine,1992
101416,james nehring,1989
101428,peter lynch,1994
101430,richard galli,2001
101432,kim carpenter,2000
101438,patrick dillon,2000
101452,michelle kwan,1997
101455,ken hamblin,1999
101456,boston teran,2001
101457,diki tsering,2000
101459,patty friedmann,2000
101460,michele roberts,1994
101462,david lipsky,1996
101464,anna louise golden,1997
101465,leonard michaels,2000
101469,barry williams,2000
101474,larry hagman,2001
101476,dennis smith,1999
101477,charles l. mee,1999
101484,anne edwards,1998
101486,mike douglas,1999
101487,david stenn,2000
101489,russell banks,1986
101494,george burns,1989
101496,mary jo clark,2002
101497,della reese,2001
101498,peter fonda,1999
101499,jerry stiller,2000
101502,john heidenry,1995
101504,sarah m. hupp,1999
101506,independent innkeepers association,1995
101507,kathy strong,1992
101508,julianne belote,1986
101509,linda kay bristow,1991
101510,betty rundback,1994
101513,tony bennett,1998
101515,jerry mathers,1998
101516,fred astaire,2000
101524,janet tashjian,2003
101526,andrew h. vachss,1993
101529,bradley trevor greive,2003
101530,mary boykin chestnut,1997
101531,erica spindler,2002
101535,jill gregory,2003
101545,loree lough,1999
101547,linda conrad,2003
101553,arlene james,1999
101555,merline lovelace,2003
101557,gillen cathy thacker,1998
101561,patricia kay,2001
101570,kate hoffmann,2004
101577,linda o. johnston,1902
101579,mary jo putney,1996
101582,merline lovelace,2003
101583,mark stevens,2000
101584,lorraine heath,1998
101585,jan hudson,2004
101586,shannon hollis,2004
101587,carol finch,2004
101588,winnie griggs,2001
101592,kathie denosky,2004
101595,maggie shayne,2002
101600,sheridon smythe,2001
101605,mara fox,2004
101607,jill marie landis,2002
101608,jill marie landis,2001
101609,mary engelbreit,1999
101612,anne van wagner childs (editor),2000
101616,suzanne forster,2004
101617,carly phillips,2003
101619,jamie denton,2003
101620,tori carrington,2004
101623,fern michaels,1999
101625,laura abbot,2002
101630,shannon drake,1995
101634,janelle denison,2002
101639,diana palmer,2000
101640,linda howard,1995
101643,barbara mccauley,1993
101645,charlene sands,2004
101646,mary burton,2004
101649,donna fletcher,2004
101655,jodi thomas,2004
101663,sandra hill,1997
101664,karen anders,2003
101665,karen anders,2004
101666,vicki lewis thompson,2003
101667,emilie rose,2003
101668,kathie denosky,2002
101670,diana palmer,1993
101671,kathie denosky,2002
101672,kathie denosky,2001
101673,kathie denosky,2003
101674,linda lea castle,2000
101675,linda lea castle,2001
101676,ronda thompson,2001
101677,ronda thompson,1999
101678,heidi betts,2003
101679,heidi betts,2002
101680,ronda thompson,2000
101685,steve brown,1999
101690,merline lovelace,1998
101691,norah hess,2001
101692,janelle denison,2000
101695,barbara daly,2004
101698,tami hoag,1992
101699,heidi betts,2000
101700,heidi betts,2001
101701,ana leigh,2004
101704,susan kay law,1999
101710,carol finch,2002
101711,constance o'banyon,2003
101712,elaine barbieri,2003
101713,bobbi smith,2003
101715,cheryl st. john,2003
101719,lori foster,2004
101722,meagan mckinney,1996
101723,emilie richards,2001
101725,lori wilde,2004
101731,k.n. casper,2003
101738,alison kent,2002
101739,rhonda nelson,2003
101740,kristin hardy,2003
101741,kristin hardy,2003
101742,dorie graham,2002
101743,julie miller,2003
101749,mark stevens,2000
101751,jamie denton,2003
101752,kristin gabriel,2004
101753,jamie denton,2002
101759,nancy warren,2003
101760,colleen collins,2002
101761,colleen collins,2003
101762,leslie kelly,2002
101764,janelle denison,2003
101765,lori foster,1997
101768,barbara daly,2001
101770,ana seymour,1998
101772,marilyn pappano,2001
101777,cassie edwards,2001
101778,cheryl reavis,2002
101779,carolyn davidson,2004
101788,rita herron,2002
101789,nora roberts,1999
101790,kris cassidy,1992
101793,cait logan,1996
101794,rosanne bittner,1997
101799,winnie griggs,2001
101803,linda lael miller,1992
101804,ronda thompson,2003
101805,yvonne jocks,2002
101806,yvonne jocks,2000
101808,jan hudson,2002
101813,peggy moreland,1998
101815,diana palmer,2003
101817,diana palmer,1995
101824,dawn atkins,2002
101826,karen rose smith,2004
101830,joanna wayne,2000
101835,karen rose smith,2003
101837,linda conrad,2003
101838,linda conrad,2003
101843,joan johnston,1995
101844,jim wilson,1997
101850,vicki thompson,2001
101853,kathryn hockett,2000
101855,elaine coffman,1996
101856,james e. austin,1998
101857,judy christenberry,2002
101859,janelle taylor,1995
101861,jo goodman,2002
101863,stella cameron,2002
101864,lori wilde,2002
101866,emma craig,2001
101867,shari boullion,2003
101868,judith stacy,2004
101870,kathie denosky,2004
101871,cathleen galitz,2004
101872,kristi gold,2004
101874,lori wilde,2002
101875,patricia thayer,2004
101881,yvonne jocks,2000
101882,kimberly raye,2004
101883,james neff,2001
101885,cara summers,2003
101886,jennifer blake,1998
101887,mary lou rich,1992
101888,emilie rose,2004
101889,kristin gabriel,2003
101890,katherine garbera,2004
101891,jill shalvis,2004
101892,teresa hill,2002
101894,leslie kelly,2002
101895,joanne rock,2002
101896,bobbi smith,2001
101897,rhonda nelson,2003
101899,vicki lewis thompson,2000
101900,vicki lewis thompson,2002
101901,kristine smith,2003
101904,roald dahl,1972
101907,dana stabenow,2002
101913,hermann hesse,1999
101922,tanith lee,1996
101927,phil hirsch,1984
101932,john mccain,1999
101935,rick cook,1993
101939,chris crutcher,1991
101944,julia marsden,2000
101945,caroline b. cooney,2002
101948,charles williams,1937
101949,charles williams,1981
101950,april bulmer,1997
101952,martina evans,2000
101955,john cassidy,1994
101957,beverly lewis,1996
101958,gina berriault,1998
101962,peter hansard,1991
101966,christopher dewdney,1986
101969,lionel dahmer,1994
101977,sheri s. tepper,2002
101981,mary bray pipher,1996
102004,stan berenstain,1983
102011,beverly slater,1986
102012,better homes and gardens,1982
102014,fern michaels,1998
102015,enid blyton,1978
102021,johanna spyri,1990
102022,andre norton,2002
102029,anne mccaffrey,2000
102030,margaret moore,2003
102031,marion chesney,1995
102032,marion chesney,1991
102034,marion chesney,1997
102035,marion chesney,1981
102036,marion chesney,1993
102040,marion chesney,1995
102041,jane austen,1998
102047,elizabeth moon,1994
102048,elizabeth moon,1988
102049,elizabeth moon,1989
102053,linda benjamin,1985
102055,jerry pournelle,1999
102058,jackie collins,1999
102059,johanna lindsey,1996
102060,lavyrle spencer,1999
102061,rosamunde pilcher,1996
102062,nancy linde,1996
102063,marion zimmer bradley,1998
102064,joyce anne schneider,1991
102069,marion chesney,1989
102071,nora roberts,2000
102073,margaret weis,2000
102076,louisa may alcott,1995
102078,brenda hiatt,2001
102086,john booth,1999
102091,rosamunde pilcher,1996
102092,leonard goldberg,2002
102093,joan ryan,1995
102096,virginia cornell,1992
102105,h. jackson brown,1996
102107,michelle blake,2000
102108,judy katschke,1999
102109,ludwig bemelmans,1987
102113,peggy d. winston,1996
102114,carol watson,2001
102115,joan walsh anglund,1963
102118,ted  falcon,2001
102120,thich nhat hanh,1991
102124,k. k. beck,1994
102126,alan sinfield,1994
102127,robert hendrickson,1987
102128,lewis h. lapham,1987
102130,lawrence block,1986
102131,linda barnes,1999
102136,p d james,1982
102137,lawrence block,1998
102140,hilary stewart,1979
102142,neal gabler,1989
102143,ikko tanaka,1983
102144,jan aaron,1985
102145,susan bradley,1991
102146,robert carroll,1994
102147,peter menzel,1995
102151,david wallace,2001
102153,firoozeh dumas,2003
102156,antonia fraser,1993
102157,paul e. johnson,1979
102159,arthur bloch,1980
102160,tom parker,1984
102161,camille paglia,1991
102162,beverly daniel tatum,1997
102164,katherine m. eakin,1986
102166,diane rossen worthington,1988
102168,marco perella,2001
102169,kasumi,1990
102170,b.a. botkin,1992
102171,joseph telushkin,1998
102172,monty python,1977
102173,klutz press,1987
102174,jennifer traig,2002
102175,paul gallotta,2000
102176,julius lester,1988
102183,dorothy gilman,1991
102184,scott adams,1995
102191,stella suberman,2001
102192,kasumi,1993
102196,simon brett,1993
102197,rita mae brown,1983
102198,simon brett,1986
102199,matt ruff,1989
102200,billy collins,2001
102201,k. k. beck,1996
102202,david n. durant,1997
102204,frances fox piven,1989
102205,thomas byrne edsall,1985
102206,timothy freke,1998
102207,thomas merton,1995
102208,daisetz t. suzuki,1970
102209,eliot deutsch,1969
102210,alfred bloom,1965
102211,troy w. organ,1981
102212,wing-tsit chan,1969
102213,a. s. cua,1982
102214,alan watts,1999
102216,jacob homolka,1997
102217,thich nhat hanh,1998
102218,jonathan kirsch,1998
102220,willis barnstone,1984
102221,gay hendricks,1977
102222,gay hendricks,1975
102223,avivah gottlieb zornberg,1996
102224,irving m. zeitlin,1988
102225,rosie rosenzweig,1998
102227,lawrence kushner,1998
102228,shimon apisdorf,1997
102229,arthur waskow,1997
102230,alan lew,1999
102231,michael lerner,1995
102232,lawrence kushner,1998
102233,josepha sherman,1992
102234,robert friedel,1996
102236,john s. lewis,1998
102237,leo howe,1993
102238,robert ornstein,1992
102239,brad leithauser,1985
102240,richard phillips feynman,1984
102242,witold rybczynski,1995
102248,lawrence kushner,1990
102249,larry kramer,0
102250,damien bona,1996
102263,patti labelle,2001
102275,edgar allan poe,1995
102279,a. e. housman,1990
102280,rona jaffe,1986
102286,bathroom readers hysterical society,2002
102288,anthony summers,1993
102297,richard bach,1977
102303,kate gleeson,1996
102313,maggie osborne,1996
102316,jane feather,1997
102317,heather graham,1996
102318,patricia ann phillips,2003
102319,sandra hill,1998
102338,alice blanchard,2003
102356,j. gordon melton,1997
102357,stan lee,1997
102358,poppy z. brite,2000
102359,piers anthony,1991
102365,tom perrotta,1999
102366,anita shreve,1994
102376,lois duncan,1999
102388,j. k. rowling,2002
102389,bill henkin,1979
102391,degen pener,1999
102392,alice adams,1999
102395,cassie edwards,1997
102398,edward st. john gorey,1980
102402,fern michaels,1997
102404,cassie edwards,2000
102407,fidelis morgan,2001
102412,al perkins,1991
102419,donald james,1999
102420,marjorie wallace,1986
102423,gayle greeno,2000
102424,dav pilkey,1992
102431,alan dean foster,1983
102432,alan dean foster,1994
102437,simon hawke,1996
102451,kate elliott,1994
102452,harry turtledove,1997
102459,kunihiko kasahara,1977
102460,mary kirchoff,1994
102463,alan dean foster,1994
102465,carl bowen,2000
102466,steve lyons,2003
102473,eric griffin,1999
102474,kathleen ryan,1999
102475,gherbod fleming,1999
102476,richard e. dansky,1999
102477,kathleen ryan,2000
102478,eric griffin,2000
102479,justin achilli,2000
102480,stewart wieck,2000
102481,gerbod fleming,2000
102482,gherbod fleming,2000
102483,agatha christie,2002
102485,jean m. auel,1986
102486,jean m. auel,1982
102488,lauren turner,2000
102490,mary engelbreit,2001
102491,mary engelbreit,2001
102492,j.n. stroyar,2001
102496,james walker,1999
102507,pat toomay,1987
102508,con sellers,1992
102509,keith douglass,2001
102511,john roderigo dos passos,2000
102512,john dos passos,2000
102513,john dos passos,2000
102514,james huston,2002
102516,james byron huggins,1998
102520,r. karl largent,1998
102529,charles dickens,2000
102536,alice calaprice,2002
102537,noam chomsky,2002
102542,peggy parish,1983
102570,julie sutton,1999
102572,christy a. moeller-masel,2000
102573,mary downing hahn,1995
102575,honor books,1996
102576,anthony s. pitch,1984
102577,colleen l. reece,2001
102578,jason rekulak,2001
102581,carl sandburg,1995
102584,neil bissoondath,1986
102585,alistair macleod,1992
102588,john gould,2003
102589,jeffrey steingarten,2002
102591,richard ellmann,0
102593,hugh maclennan,1989
102628,mardi mcconnochie,2002
102640,patricia curtis,1997
102653,martin gottfried,2000
102658,phyllis a. whitney,1987
102664,scholastic books,1998
102665,cait london,1999
102672,maureen child,1999
102676,sue henry,1999
102678,hal leonard publishing corporation,1993
102682,janee harteau,1998
102689,robert olen butler,1994
102716,james redfield,1998
102721,gary zukav,1999
102727,emily bronte,1992
102728,budge wilson,1993
102729,jennifer allen,2000
102732,lane von herzen,1991
102742,marilyn green,1999
102747,stephen king,1983
102754,academy of american poets,1995
102765,raymond carver,1989
102770,iain banks,1992
102773,vivian schilling,2003
102774,ralph sarchie,2001
102781,thomas malory,1970
102783,steven siebert,2000
102787,harold robbins,1998
102795,sharon sala,1999
102802,tony hillerman,1983
102806,v. c. andrews,1985
102810,harvey diamond,1985
102812,jesse sheidlower,1995
102817,danielle steel,1988
102819,kenneth grahame,1983
102822,george eliot,1997
102824,kathryn hockett,1990
102826,gary hardwick,2001
102829,rebecca k. rizzo,1994
102831,philip t. sudo,2000
102832,brian herbert,2003
102834,catherine asaro,1996
102838,donna hill,2002
102840,nicci french,0
102841,ed smart,2003
102842,leslie forbes,2002
102843,j. wallis martin,1998
102844,dorit rabinyan,1998
102846,charles t. powers,1997
102855,robin mckinley,2003
102857,david lindsey,2004
102858,david lodge,1985
102862,phyllis a. whitney,1997
102863,sue grafton,1986
102865,elizabeth gaskell,1998
102866,cara colter,2002
102869,lawrence sutin,2002
102871,stephen king,1994
102872,bernard werber,2001
102873,b. werber,2001
102884,regis philbin,1996
102886,mickee madden,1995
102894,tove jansson,1983
102896,keith hale,1994
102898,henry wiencek,1999
102899,unknown unknown,1998
102907,charles p. baudelaire,1999
102908,william faulkner,1974
102909,virginia woolf,0
102911,i. claremont de castillejo,1980
102912,dino buzzati,1999
102917,john r. maxim,2002
102918,john r. maxim,1999
102921,alessandro baricco,2003
102922,alessandro barrico,1999
102923,gogol,1998
102924,antoine de saint-exupery,1997
102927,joseph zobel,2002
102934,fiona buckley,2001
102936,terry goodkind,2001
102940,patricia stapley,1991
102944,andrew m. greeley,2001
102946,joyce sweeney,1997
102948,roger l. simon,2003
102956,tamara thorne,2001
102974,inga clendinnen,2001
102987,henry treece,1998
102991,kathryn spink,1995
102998,wilbur a. smith,1989
103010,alan sillitoe,0
103012,lillian o'donnell,1985
103043,e. gary gygax,1987
103050,kate chopin,1985
103057,christopher whyte,1999
103061,jonathan raban,1997
103066,scott russell sanders,1993
103072,larry watson,1995
103073,ferruccio parazzoli,1999
103074,dominique lapierre,1995
103076,jeanne m. dams,2002
103077,philip briggs,1999
103083,paul scott,1998
103103,christopher stasheff,1994
103104,tony hillerman,1980
103106,christopher stasheff,1992
103118,po bronson,1998
103120,ken follett,1999
103122,emily carmichael,2001
103132,linda fairstein,1999
103150,kristiane allert-wybranietz,1980
103162,philip k. dick,1994
103163,w. b. yeats,2002
103164,louis sachar,1997
103167,ian rankin,1998
103168,david bach,2000
103173,jeff crook,2000
103177,jenny davidson,2003
103179,j.a. konrath,2004
103180,kenneth c. flint,1992
103187,jennifer fallon,2004
103189,marie giordano,2003
103194,j. minter,2004
103201,garth ennis,2004
103203,sandra bark,2003
103205,andrew taylor,2004
103206,karen novak,2003
103207,steve kissing,2003
103210,mackenzie taylor,2003
103211,sidney abbott,1985
103212,michele antoinette paludi,1996
103213,janet staiger,1995
103216,evelyn nakano glenn,1988
103217,catharine a. mackinnon,1991
103226,victoria malvey,2001
103230,debbie macomber,2000
103233,lenora worth,2002
103235,nikki benjamin,2003
103238,kristi gold,2003
103239,cindy gerard,2003
103241,leanne banks,2003
103243,anne marie winston,2003
103262,mercer mayer,1998
